birga_x,valin_x,valout_x,direction_x,rates_x,volume_x,Com_x,birga_y,valin_y,valout_y,direction_y,rates_y,volume_y,Com_y,Bal1,Bal2,volume,Vol1,Vol2,Vol3,Vol4,profit,percent,regim,min_A,new_kurs,My_kurs,Vol5,prof,per,New_per,order_id
alfa,USD,PZM,buy,0.0194,3500.0,0.2,live,PZM,USD,sell,0.01916,17417.19677039,0.18,44087.66297835052,16944.576055899997,3500.0,67.9,3500.0,3493.0,66.80541341600001,-1.0945865839999982,-1.6120568247422653,1,1,0.02014,0.020039300000000003,69.87127980518001,1.9712798051800036,2.9032103169072214,2.0,11245
alfa,USD,PZM,buy,0.0194,3500.0,0.2,hot,PZM,USDT,sell,0.01916,17417.19677039,0.18,44087.66297835052,16944.576055899997,3500.0,67.9,3500.0,3493.0,66.80541341600001,-1.0945865839999982,-1.6120568247422653,1,1,0.02014,0.020039300000000003,69.87127980518001,1.9712798051800036,2.9032103169072214,2.0,11246
