Valuta,alfa,live,hot,Summa
ZEC,0.0,0.0,0,0
USDT,0,0.0,0.0,0
BTCd,0,0.0,0.0,0
USDTd,0,0.0,0.0,0
USD,0,0.0,0.0,0
USDT + USD,0,0.0,0.0,0
