Valuta,alfa,live,hot,Summa
USDT,0.08912632000000001,0.00299245,1019.21203861,1019.30415738
BTC,0.00863151,0.03158441,0.06219946,0.10241538
USD,855.30066178,0.04699719,0.0,855.34765897
PZM,8473.087900859999,6944.5760559,2.3332381,15419.99719486
ETH,0.01092496,0.0,0.00080888,0.011733839999999999
USDT + USD,855.3897881,0.04998964,1019.21203861,1874.65181635
