2020/06/16 18:20:39 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:20:39 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:20:39 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:20:39 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:20:53 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:20:53 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:20:53 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:20:53 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:20:53 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:21:12 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:21:12 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:21:12 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:21:12 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:21:12 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:21:27 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:21:27 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:21:27 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:21:27 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:21:27 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:21:41 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:21:41 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:21:41 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:21:41 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:21:41 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:21:44 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:21:44 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:21:44 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:21:44 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:21:44 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:21:58 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:21:58 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:21:58 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:21:58 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:21:58 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:22:11 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:22:11 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:22:11 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:22:11 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:22:11 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:22:26 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:22:26 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:22:26 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:22:26 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:22:26 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:22:27 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:22:27 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:22:27 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:22:27 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:22:27 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:22:40 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:22:40 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:22:40 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:22:40 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:22:40 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:22:53 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:22:53 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:22:53 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:22:53 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:22:53 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:23:07 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:23:07 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:23:07 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:23:07 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:23:07 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:23:12 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:23:12 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:23:12 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:23:12 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:23:12 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:23:19 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:23:19 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:23:19 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:23:19 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:23:19 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:23:31 callbacks,line: 116     INFO | Logger object created successfully..
